Row ID,Order ID,Order Date,Ship Date,New Ship Date,Ship Mode,Customer ID,Last Order Date,Recency (In Days),Recency Score,Frequency,Frequency Score,Monetary,Monetary Score,Customer Score,Customer Tier,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Customer Retention,,,Recency Date
282,US-2021-128055-CHO-TRI-54000,2021-03-31,2026-09-26,2021-04-05,Standard Class,128055,2021-03-31,1371,0.027567939,2,0.746002158,9.9,0.197390366,0.970960463,Fourth Tier,United States,San Francisco,California,94122,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,1,,,2024-12-31
288,US-2021-128055-CHO-SCR-58000,2021-03-31,2026-09-26,2021-04-04,Standard Class,128055,2021-03-31,1371,0.027567939,2,0.746002158,9.9,0.197390366,0.970960463,Fourth Tier,United States,San Francisco,California,94122,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,1,,,
1132,US-2021-138100-CHO-FUD-51000,2021-09-15,2027-03-13,2021-09-20,Standard Class,138100,2021-09-15,1203,0.109388796,2,0.746002158,11.13,0.224565879,1.079956833,Fourth Tier,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,1,,,
1133,US-2021-138100-CHO-MIL-31000,2021-09-15,2027-03-13,2021-09-20,Standard Class,138100,2021-09-15,1203,0.109388796,2,0.746002158,11.13,0.224565879,1.079956833,Fourth Tier,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,1,,,
3396,US-2022-121391-CHO-MIL-31000,2022-10-04,2028-03-29,2022-10-08,First Class,121391,2022-10-04,819,0.32698911,1,0.995192779,4.22,0.042087707,1.364269597,Third Tier,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,0,,,
4370,US-2023-103982-CHO-SCR-58000,2023-03-03,2028-08-28,2023-03-05,Standard Class,103982,2023-03-03,669,0.421760031,4,0.330422839,33.1,0.689492789,1.44167566,Third Tier,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,1,,,
4373,US-2023-103982-CHO-NUT-13000,2023-03-03,2028-08-28,2023-03-08,Standard Class,103982,2023-03-03,669,0.421760031,4,0.330422839,33.1,0.689492789,1.44167566,Third Tier,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,1,,,
4375,US-2023-103982-CHO-FUD-51000,2023-03-03,2028-08-28,2023-03-05,Standard Class,103982,2023-03-03,669,0.421760031,4,0.330422839,33.1,0.689492789,1.44167566,Third Tier,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,1,,,
4377,US-2023-103982-CHO-MIL-31000,2023-03-03,2028-08-28,2023-03-10,Standard Class,103982,2023-03-03,669,0.421760031,4,0.330422839,33.1,0.689492789,1.44167566,Third Tier,United States,Round Rock,Texas,78664,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,1,,,
8005,US-2024-147039-CHO-NUT-13000,2024-06-29,2029-12-25,2024-07-03,Standard Class,147039,2024-06-29,185,0.779260277,2,0.746002158,12.45,0.270479741,1.795742176,Second Tier,United States,Minneapolis,Minnesota,55407,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,1,,,
